,page_content,metadata
10,"Section: Stability-Driven Quantization-Aware Training for Low-Bit Models > I. INTRODUCTION
Type: text
Content:
Due to the non-differentiable rounding operation of virtual quantization, Straight-Through Estimator (STE) [6] is adopted to enable gradient-based optimization. However, studies [7] [8] highlight that using STE may face unstable optimization due to oscillation during training. When using STE, the weights fluctuate between neighboring quantization levels, resulting in optimization noise throughout the training process [8]","{'Header 1': 'Stability-Driven Quantization-Aware Training for Low-Bit Models', 'Header 4': 'I. INTRODUCTION', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
11,"Section: Stability-Driven Quantization-Aware Training for Low-Bit Models > I. INTRODUCTION
Type: text
Content:
When using STE, the weights fluctuate between neighboring quantization levels, resulting in optimization noise throughout the training process [8]. Recent works [9] [10] propose smooth approximations to replace STE for stable training, but STE remains the de facto approach due to its simplicity. Learned Step Size Quantization (LSQ) [11] leverages STE-based gradient approximation to optimize the scaling factor","{'Header 1': 'Stability-Driven Quantization-Aware Training for Low-Bit Models', 'Header 4': 'I. INTRODUCTION', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
12,"Section: Stability-Driven Quantization-Aware Training for Low-Bit Models > I. INTRODUCTION
Type: text
Content:
Learned Step Size Quantization (LSQ) [11] leverages STE-based gradient approximation to optimize the scaling factor, thereby preserving accuracy under low-bit quantization. In addition, the rounding operation in virtual quantization draws increasing attention due to its impact on training stability.  
Rounding to the nearest is the most widely used rounding method in neural network quantization","{'Header 1': 'Stability-Driven Quantization-Aware Training for Low-Bit Models', 'Header 4': 'I. INTRODUCTION', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
13,"Section: Stability-Driven Quantization-Aware Training for Low-Bit Models > I. INTRODUCTION
Type: text
Content:
Rounding to the nearest is the most widely used rounding method in neural network quantization. However, it becomes suboptimal when applied to low-bit quantization [1]. Furthermore, the authors of [7] observed that the threshold of a half in rounding-to-nearest also leads to training oscillation, resulting in performance degradation. To overcome these challenges","{'Header 1': 'Stability-Driven Quantization-Aware Training for Low-Bit Models', 'Header 4': 'I. INTRODUCTION', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
14,"Section: Stability-Driven Quantization-Aware Training for Low-Bit Models > I. INTRODUCTION
Type: text
Content:
To overcome these challenges, the authors of [7] propose an Exponential Moving Average (EMA) based method to reduce the oscillation in the training process. The work [8] introduces a regularized loss for controlling the weights in the non-oscillating state. Some works [12] [13] propose learnable rounding schemes to minimize rounding errors during training","{'Header 1': 'Stability-Driven Quantization-Aware Training for Low-Bit Models', 'Header 4': 'I. INTRODUCTION', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
15,"Section: Stability-Driven Quantization-Aware Training for Low-Bit Models > I. INTRODUCTION
Type: text
Content:
Some works [12] [13] propose learnable rounding schemes to minimize rounding errors during training. However, the underlying causes of the oscillation remain unexplored.  
In this paper, we propose several contributions to tackle the oscillation problem in QAT as below:  ","{'Header 1': 'Stability-Driven Quantization-Aware Training for Low-Bit Models', 'Header 4': 'I. INTRODUCTION', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
16,"Section: Stability-Driven Quantization-Aware Training for Low-Bit Models > I. INTRODUCTION
Type: text
Content:
In this paper, we propose several contributions to tackle the oscillation problem in QAT as below:  
- We provide theoretical and empirical analyses for quantization-aware training.
- We propose a method called Gradient Scaling-Aware Distance (ScaleGrad) and EMA-Aware Distance for updating weights (EAM) to address the problem of inst","{'Header 1': 'Stability-Driven Quantization-Aware Training for Low-Bit Models', 'Header 4': 'I. INTRODUCTION', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
17,"Section: Stability-Driven Quantization-Aware Training for Low-Bit Models > I. INTRODUCTION
Type: text
Content:
- We propose a method called Gradient Scaling-Aware Distance (ScaleGrad) and EMA-Aware Distance for updating weights (EAM) to address the problem of instability in the QAT training process.
- We propose an Adaptive Finetuning Weight (AFW) to fine-tune the oscillating weights.","{'Header 1': 'Stability-Driven Quantization-Aware Training for Low-Bit Models', 'Header 4': 'I. INTRODUCTION', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
18,"Section: II. RELATED WORK > *A. Quantization Aware Training*
Type: text
Content:
Quantization-aware training (QAT) has been extensively studied for its ability to minimize accuracy degradation when converting models to low-precision formats by incorporating quantization into the training process. Techniques such as Element-Wise Gradient Scaling (EWGS) [14] and Learned Step Size Quantization (LSQ) [11] propose to enhance training stability and miti","{'Header 1': 'II. RELATED WORK', 'Header 3': '*A. Quantization Aware Training*', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
19,"Section: II. RELATED WORK > *A. Quantization Aware Training*
Type: text
Content:
Techniques such as Element-Wise Gradient Scaling (EWGS) [14] and Learned Step Size Quantization (LSQ) [11] propose to enhance training stability and mitigate the impact of quantization. QAT typically relies on STE to enable gradient-based optimization despite the non-differentiability of quantization operations; however","{'Header 1': 'II. RELATED WORK', 'Header 3': '*A. Quantization Aware Training*', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
20,"Section: II. RELATED WORK > *A. Quantization Aware Training*
Type: text
Content:
QAT typically relies on STE to enable gradient-based optimization despite the non-differentiability of quantization operations; however, the effectiveness of STE remains a topic of debate. To address its limitations, alternative approaches such as mirror descent [14], gradient bias correction [15], and smooth approximations [9], [10] have been introduced. Although QAT generally achieves higher accuracy compared to post-training quantization (PTQ), it often incurs significantly longer training times.","{'Header 1': 'II. RELATED WORK', 'Header 3': '*A. Quantization Aware Training*', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
21,"Section: II. RELATED WORK > *A. Quantization Aware Training*
Type: text
Content:
Although QAT generally achieves higher accuracy compared to post-training quantization (PTQ), it often incurs significantly longer training times.","{'Header 1': 'II. RELATED WORK', 'Header 3': '*A. Quantization Aware Training*', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
22,"Section: II. RELATED WORK > *A. Quantization Aware Training* > B. Oscillations in Quantization-Aware training
Type: text
Content:
One critical challenge of STE-based QAT is the oscillation in weight. Recent studies [8], [16] show that the approximation error introduced by STE can lead to instability during training. To address the issue","{'Header 1': 'II. RELATED WORK', 'Header 3': '*A. Quantization Aware Training*', 'Header 4': 'B. Oscillations in Quantization-Aware training', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
23,"Section: II. RELATED WORK > *A. Quantization Aware Training* > B. Oscillations in Quantization-Aware training
Type: text
Content:
To address the issue, the approach in [16] replaces the quantization operation with an additive Gaussian noise to mimic quantization effects while avoiding oscillatory behavior. Similarly, the authors of [8] find that oscillations particularly worsen in lightweight architectures employing depth-wise convolutions. They propose to constrain the latent weights either by regularizing them toward quantized values or by freezing them entirely","{'Header 1': 'II. RELATED WORK', 'Header 3': '*A. Quantization Aware Training*', 'Header 4': 'B. Oscillations in Quantization-Aware training', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
24,"Section: II. RELATED WORK > *A. Quantization Aware Training* > B. Oscillations in Quantization-Aware training
Type: text
Content:
They propose to constrain the latent weights either by regularizing them toward quantized values or by freezing them entirely. More recently, [17] investigates the oscillation in vision transformers and introduces fixed scaling factors along with a reparameterization of the query-key mechanism to mitigate these effects. However, their method is designed for transformer-based architectures.","{'Header 1': 'II. RELATED WORK', 'Header 3': '*A. Quantization Aware Training*', 'Header 4': 'B. Oscillations in Quantization-Aware training', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
25,"Section: II. RELATED WORK > *A. Quantization Aware Training* > B. Oscillations in Quantization-Aware training
Type: text
Content:
However, their method is designed for transformer-based architectures.","{'Header 1': 'II. RELATED WORK', 'Header 3': '*A. Quantization Aware Training*', 'Header 4': 'B. Oscillations in Quantization-Aware training', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
26,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING
Type: text
Content:
This section investigates oscillations in QAT through theoretical analysis and empirical observations.","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
27,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > A. Quantization Aware Training Analysis
Type: text
Content:
We formulate the Quantization function with latent value x - input and output  $\hat{x}$  as follows:  
$$\bar{x} = clip\left(\left\lceil \frac{x}{s} \right\rceil, \alpha, \beta\right) \tag{1}$$  
$$\hat{x} = s \times \bar{x} \tag{2}$$  
where s is the scaling factor,  $\alpha$  and  $\beta$  denote the lower and upper bounds based on bitwidth, respectively","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'A. Quantization Aware Training Analysis', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
28,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > A. Quantization Aware Training Analysis
Type: text
Content:
where s is the scaling factor,  $\alpha$  and  $\beta$  denote the lower and upper bounds based on bitwidth, respectively,  $\lceil \cdot \rceil$  denotes the rounding-to-nearest operation whose derivative is approximated by 1 in the backward pass by the Straight-Through Estimator (STE) [6], with the following formula:  
$$\frac{\partial L}{\partial x} = \begin{cases} \frac{\partial L}{\partial \hat{x}} & \text{if } \frac{x}{s} \in [\alpha, \beta] \\ 0 \end{cases}$$","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'A. Quantization Aware Training Analysis', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
29,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > A. Quantization Aware Training Analysis
Type: text
Content:
$$\frac{\partial L}{\partial x} = \begin{cases} \frac{\partial L}{\partial \hat{x}} & \text{if } \frac{x}{s} \in [\alpha, \beta] \\ 0 \end{cases}$$
(3)  
where L is the target loss","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'A. Quantization Aware Training Analysis', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
30,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > A. Quantization Aware Training Analysis
Type: text
Content:
where L is the target loss. During training, weights and activations are quantized in the forward pass by (1), considering the effects of quantization errors. Scaling factor s can be either precomputed or jointly optimized with the model parameters [11], [18]. Unfortunately, STE degrades the accuracy of QAT at lower-bit formats.  
Next, we mathematically analyze the high probability causes of the degradation and propose methods to improve performance in the following sections","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'A. Quantization Aware Training Analysis', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
31,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > A. Quantization Aware Training Analysis
Type: text
Content:
Next, we mathematically analyze the high probability causes of the degradation and propose methods to improve performance in the following sections. Firstly, we analyze the gradient concerning the scaling factor of the loss function, as outlined below:  
$$\frac{\partial L}{\partial s} = \sum_{i}^{K} \frac{\partial L}{\partial \hat{x}_{i}} \frac{\partial \hat{x}_{i}}{\partial s} \tag{4}$$  
with:  ","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'A. Quantization Aware Training Analysis', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
32,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > A. Quantization Aware Training Analysis
Type: text
Content:
$$\frac{\partial L}{\partial s} = \sum_{i}^{K} \frac{\partial L}{\partial \hat{x}_{i}} \frac{\partial \hat{x}_{i}}{\partial s} \tag{4}$$  
with:  
$$\frac{\partial \hat{x}_i}{\partial s} = \begin{cases}
\alpha & \text{if } \frac{x_i}{s} \le \alpha \\
(\lceil \frac{x_i}{s} \rceil - \frac{x_i}{s}) & \text{if } \frac{x_i}{s} \in [\alpha, \beta] \\
\beta & \text{if } \frac{x_i}{s} \ge \beta
\end{cases}$$
(5)  
","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'A. Quantization Aware Training Analysis', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
33,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > A. Quantization Aware Training Analysis
Type: text
Content:
\beta & \text{if } \frac{x_i}{s} \ge \beta
\end{cases}$$
(5)  
From (5), it can be seen that term  $\left(\left\lceil\frac{x_i}{s}\right\rceil-\frac{x_i}{s}\right)$  is a discontinuous function","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'A. Quantization Aware Training Analysis', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
34,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > A. Quantization Aware Training Analysis
Type: text
Content:
From (5), it can be seen that term  $\left(\left\lceil\frac{x_i}{s}\right\rceil-\frac{x_i}{s}\right)$  is a discontinuous function. Specifically, when  $\frac{x_i}{s}$  nears k+0.5, which is a transition point, the term experiences a surge with maximum amplitude. For example, when  $\frac{\partial L}{\partial \hat{x}^t}>0$  and approximately constant with value  $\varepsilon$ ","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'A. Quantization Aware Training Analysis', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
35,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > A. Quantization Aware Training Analysis
Type: text
Content:
For example, when  $\frac{\partial L}{\partial \hat{x}^t}>0$  and approximately constant with value  $\varepsilon$ , and x<0 over an interval of  $T_0$  iterations  $[t,t+T_0]$ . At iteration t, assume that  $\frac{x_i^t}{s^t}$  is approaching the left side of a transition point, i.e.,  
$$\frac{x_i^t}{s^t} \to k + 0.5^- \tag{6}$$  ","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'A. Quantization Aware Training Analysis', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
36,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > A. Quantization Aware Training Analysis
Type: text
Content:
$$\frac{x_i^t}{s^t} \to k + 0.5^- \tag{6}$$  
In this situation, the gradient with respect to the scaling factor becomes  $\frac{\partial L}{\partial s^t} \approx -0.5\varepsilon < 0$ . After the gradient descent update, the new value  $s^{t+1}$  is:  $s^{t+1} = s^t - lr.\frac{\partial L}{\partial s^t} > s^t$ . So, at iteration t+1, we have given as:  
$$\frac{x_i^t}{s^t} < \frac{x_i^{t+1}}{s^{t+1}} \to k + 0.5^+ \tag{7}$$  
$$\frac{\partial L}{\partial s^{t+1}} \approx 0.5\varepsilon > 0 \tag{8}$$  
","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'A. Quantization Aware Training Analysis', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
37,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > A. Quantization Aware Training Analysis
Type: text
Content:
$$\frac{x_i^t}{s^t} < \frac{x_i^{t+1}}{s^{t+1}} \to k + 0.5^+ \tag{7}$$  
$$\frac{\partial L}{\partial s^{t+1}} \approx 0.5\varepsilon > 0 \tag{8}$$  
Here,  $\rightarrow$  indicates approaching a value, while  $k+0.5^+$  and  $k+0.5^-$  denote right-sided and left-sided neighborhoods of k+0.5","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'A. Quantization Aware Training Analysis', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
38,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > A. Quantization Aware Training Analysis
Type: text
Content:
Here,  $\rightarrow$  indicates approaching a value, while  $k+0.5^+$  and  $k+0.5^-$  denote right-sided and left-sided neighborhoods of k+0.5. Equations (6), (7), and (8) show that the gradient of loss with respect to the scaling factor can fluctuate during training. Since  $x_i$  includes both weights and activations, such instability leads to oscillations, thus degrading model performance.  
","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'A. Quantization Aware Training Analysis', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
39,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > A. Quantization Aware Training Analysis
Type: text
Content:
Since  $x_i$  includes both weights and activations, such instability leads to oscillations, thus degrading model performance.  
The latent weight oscillation during QAT is also determined from the nature of its gradients","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'A. Quantization Aware Training Analysis', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
40,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > A. Quantization Aware Training Analysis
Type: text
Content:
The latent weight oscillation during QAT is also determined from the nature of its gradients. As shown in (3), the gradient depends on the occurrence of a quantization level transition rather than the latent weight's value. So, when  $\left|\left\lceil\frac{x_i}{s}\right\rceil - \frac{x_i}{s}\right|$  is small","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'A. Quantization Aware Training Analysis', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
41,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > A. Quantization Aware Training Analysis
Type: text
Content:
So, when  $\left|\left\lceil\frac{x_i}{s}\right\rceil - \frac{x_i}{s}\right|$  is small, gradient updates may not be large enough to change the latent weight. Thus, such updates fail to reduce total loss and optimize the model parameters effectively.","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'A. Quantization Aware Training Analysis', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
42,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > B. Observing Oscillations in QAT
Type: text
Content:
In this section, we examine the oscillation during quantization-aware training of DNNs using YOLOv8n model [19]. We perform QAT on YOLOv8n using learnable scaling factors, following [11], until the model's mAP shows minimal further improvement. Fig. 1(a) shows the histogram of latent weights in the 2<sup>th</sup> layer. A large proportion of weights are concentrated near the quantization thresholds","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'B. Observing Oscillations in QAT', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
43,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > B. Observing Oscillations in QAT
Type: text
Content:
A large proportion of weights are concentrated near the quantization thresholds, which indicates a high probability of oscillations between adjacent quantization levels. This phenomenon is further illustrated in Fig. 1(b), where the latent weights have chaotic oscillation.  
To observe the oscillation of the scaling factor, the model weights are frozen after training, and the scaling factors are  
","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'B. Observing Oscillations in QAT', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
44,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > B. Observing Oscillations in QAT
Type: text
Content:
To observe the oscillation of the scaling factor, the model weights are frozen after training, and the scaling factors are  
","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'B. Observing Oscillations in QAT', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
45,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > B. Observing Oscillations in QAT
Type: text
Content:
  
Fig. 1: The oscillation of the weights of the YOLOv8-n model in the last 2000 iterations: (a) latent weight histogram on the  $2^{th}$  layer, (b) weight fluctuations in the  $2^{th}$  layer's first channel, and (c) scaling factor dynamics in the 3rd layer.  
TABLE I: YOLOv8-n performance under LSQ training and training with frozen weights and learnable scaling factors.  
","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'B. Observing Oscillations in QAT', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
46,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > B. Observing Oscillations in QAT
Type: text
Content:
TABLE I: YOLOv8-n performance under LSQ training and training with frozen weights and learnable scaling factors.  
","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'B. Observing Oscillations in QAT', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
47,"Section: III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING > B. Observing Oscillations in QAT
Type: text
Content:
  
Fig. 2: The proposed PulseSmooth function, the x-axis represents the value of m in the range from -0.5 to 0.5. Note that when m is in the range  $(-0.5+\delta, 0.5-\delta)$  the PulseSmooth function is an identity function.  
updated via the backpropagation algorithm. Fig","{'Header 1': 'III. ANALYSIS OF OSCILLATION IN QUANTIZATION-AWARE TRAINING', 'Header 4': 'B. Observing Oscillations in QAT', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
